Full Name,DOB,Age,Gender,Grade / School,Batch,Level,Joining Date,Status,Parent Name,Parent Phone,Parent WhatsApp,Parent Email,Parent 2 Name,Parent 2 Phone,Emergency Contact,Emergency Phone,Address,Photo Consent,This Month Attended,Notes,School,Standard,TNSCA ID,FIDE ID,AICF ID,Classical Rating,Rapid Rating,Blitz Rating,Coach Name,Chess.com Username,Lichess Username,Photo URL
Ashika Senthilkumar,2012-11-16,"=IF(B2="""","""",DATEDIF(B2,TODAY(),""Y""))",Female,"7th, Cuddalore School",Advanced,Advanced,2026-01-01,Active,Senthilkumar,7539357230,7539357230,ashika.senthilkumar@example.com,,,Senthilkumar,7539357230,"Cuddalore, Tamil Nadu",Yes,0,Represented Cuddalore in CM Trophy State Level Championship; Won many trophies and cash prizes,Cuddalore Higher Secondary School,7th,8829 CUD 2026,8810743,325000 TN 2022,1472,1451,,Coach Meera,ashika_senthilkumar,ashika-senthilkumar,
Vetrivel Shanmugam,2016-10-21,"=IF(B3="""","""",DATEDIF(B3,TODAY(),""Y""))",Male,"4th, St. Joseph School",Intermediate,Intermediate,2026-01-01,Active,Shanmugam,9443497631,9443497631,vetrivel.shanmugam@example.com,,,Shanmugam,9443497631,"Cuddalore, Tamil Nadu",Yes,0,6th prize in National School Chess Championship; 5th prize in U-09 State Chess Championship,St. Joseph's Academy,4th,4487 CUD 2026,9810861,13217 TN 2023,1564,1558,1557,Coach Meera,vetrivel_shanmugam,vetrivel-shanmugam,
Ashika Shanmugam,2014-06-11,"=IF(B4="""","""",DATEDIF(B4,TODAY(),""Y""))",Female,"6th, St. Joseph School",Intermediate,Intermediate,2026-01-01,Active,Shanmugam,8688995620,8688995620,ashika.shanmugam@example.com,,,Shanmugam,8688995620,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies and cash prizes,St. Joseph's Academy,6th,1593 CUD 2026,547031301,305577 TN 2025,1474,1518,,Coach Meera,ashika_shanmugam,ashika-shanmugam,
Adhavan Rajkumar,2012-04-21,"=IF(B5="""","""",DATEDIF(B5,TODAY(),""Y""))",Male,"8th, Bharathi Vidyalaya",Intermediate,Intermediate,2026-01-01,Active,Rajkumar,8838425540,8838425540,adhavan.rajkumar@example.com,,,Rajkumar,8838425540,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies; Active tournament player,Bharathi Vidyalaya,8th,4840 CUD 2025,547052970,309286 TN 2025,1453,,,Coach Meera,adhavan_rajkumar,adhavan-rajkumar,
Kavin Jayan,2014-01-13,"=IF(B6="""","""",DATEDIF(B6,TODAY(),""Y""))",Male,"6th, Kendriya Vidyalaya",Intermediate,Intermediate,2026-01-01,Active,Jayan,9790397559,9790397559,kavin.jayan@example.com,,,Jayan,9790397559,"Cuddalore, Tamil Nadu",Yes,0,Regular training participant,Kendriya Vidyalaya,6th,4834 CUD 2025,547065567,313354 TN 2025,1408,,,Coach Meera,kavin_jayan,kavin-jayan,
Krithik Saran,2014-06-05,"=IF(B7="""","""",DATEDIF(B7,TODAY(),""Y""))",Male,"6th, Montfort School",Intermediate,Intermediate,2026-01-01,Active,S. Saran,9840123451,9840123451,krithik.saran@example.com,,,S. Saran,9840123451,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies in district level events,Montfort Matric School,6th,48327 CUD 2025,584070565,359768 TN 2026,1486,1463,,Coach Meera,krithik_saran,krithik-saran,
Raghavan S,2012-01-18,"=IF(B8="""","""",DATEDIF(B8,TODAY(),""Y""))",Male,"8th, Aditya Vidyashram",Advanced,Advanced,2026-01-01,Active,Sathyanarayanan,9607819952,9607819952,raghavan.s@example.com,,,Sathyanarayanan,9607819952,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies; Senior advanced player,Aditya Vidyashram,8th,81056 CUD 2025,577085884,387582 TN 2026,1571,1477,,Coach Meera,raghavan_s,raghavan-s,
Faazil S,2014-04-02,"=IF(B9="""","""",DATEDIF(B9,TODAY(),""Y""))",Male,"6th, Aditya Vidyashram",Advanced,Advanced,2026-01-01,Active,Sathyanarayanan,9607819952,9607819952,faazil.s@example.com,,,Sathyanarayanan,9607819952,"Cuddalore, Tamil Nadu",Yes,0,Strong tactical player; rating 1600,Aditya Vidyashram,6th,81055 CUD 2025,583011005,395377 TN 2026,1600,,,Coach Meera,faazil_s,faazil-s,
Mithun Ramesh,2010-11-01,"=IF(B10="""","""",DATEDIF(B10,TODAY(),""Y""))",Male,"10th, St. Mary's School",Advanced,Advanced,2026-01-01,Active,Ramesh,8610810252,8610810252,mithun.ramesh@example.com,,,Ramesh,8610810252,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies in open category,St. Mary's School,10th,48102 CUD 2025,58301168,395376 TN 2026,1467,,,Coach Meera,mithun_ramesh,mithun-ramesh,
Lokesh Balasubramanian,2011-07-24,"=IF(B11="""","""",DATEDIF(B11,TODAY(),""Y""))",Male,"9th, Govt High School",Intermediate,Intermediate,2026-01-01,Active,Balasubramanian,9180281830,9180281830,lokesh.balasubramanian@example.com,,,Balasubramanian,9180281830,"Cuddalore, Tamil Nadu",Yes,0,Consistent tournament participant,Govt Higher Secondary School,9th,24918 CUD 2025,583010080,395373 TN 2026,1460,1455,,Coach Meera,lokesh_balasubramanian,lokesh-balasubramanian,
